Date,Open,High,Low,Close,Adj Close,Volume
2/19/2018,49.775101,50.0163,48.689701,49.7449,49.7449,11469119
2/20/2018,50.046398,51.0112,49.7449,50.649399,50.649399,12240413
2/21/2018,51.071499,51.071499,49.895699,50.106701,50.106701,11717344
2/22/2018,50.046398,50.136902,48.629501,48.961102,48.961102,16763551
2/23/2018,49.202301,49.7449,48.930901,49.533901,49.533901,13357968
2/26/2018,49.805199,50.3479,49.353001,49.654499,49.654499,15666153
2/27/2018,49.895699,51.403099,49.895699,50.830299,50.830299,34360196
2/28/2018,50.830299,51.252399,49.8354,50.5891,50.5891,74573821
3/1/2018,50.619202,50.77,49.805199,50.076599,50.076599,25085661
3/5/2018,50.287601,50.287601,49.1721,49.775101,49.775101,15073917
3/6/2018,50.046398,50.167,48.991199,49.383202,49.383202,16314199
3/7/2018,49.443501,49.865501,46.579399,48.056599,48.056599,22678239
3/8/2018,49.443501,49.986099,47.363201,48.026501,48.026501,33250438
3/9/2018,48.448601,48.569199,47.333099,47.544102,47.544102,12098696
3/12/2018,47.7551,48.207401,46.157299,47.333099,47.333099,19049889
3/13/2018,47.302898,49.1721,47.0919,48.629501,48.629501,25303467
3/14/2018,48.75,49.141998,47.9963,48.991199,48.991199,13815412
3/15/2018,48.8405,49.564098,48.0868,48.327999,48.327999,12103368
3/16/2018,48.1772,50.046398,47.724998,48.870602,48.870602,28101428
3/19/2018,48.8405,49.0214,46.368301,46.910999,46.910999,18329578
3/20/2018,46.187401,47.122002,45.9161,46.5191,46.5191,20595033
3/21/2018,47.152199,48.237499,46.760201,47.724998,47.724998,11950167
3/22/2018,47.393398,48.0868,46.277901,46.790401,46.790401,10906059
3/23/2018,46.700001,47.152199,44.951302,46.820499,46.820499,22106109
3/26/2018,46.549198,48.5993,46.368301,48.448601,48.448601,14621776
3/27/2018,48.448601,49.232399,48.056599,48.5993,48.5993,11045841
3/28/2018,48.629501,48.659599,45.433701,45.765301,45.765301,31435288
4/2/2018,46.2477,47.122002,45.614601,46.910999,46.910999,9086088
4/3/2018,46.3382,47.031601,46.127102,46.639702,46.639702,11900621
4/4/2018,47.031601,47.2728,45.584499,46.187401,46.187401,12648900
4/5/2018,46.458801,46.8507,45.8256,46.368301,46.368301,15292566
4/6/2018,46.277901,46.368301,45.071899,45.192501,45.192501,15890534
4/9/2018,44.9212,45.433701,44.3484,45.132198,45.132198,16454997
4/10/2018,45.3433,45.5242,44.3484,44.5896,44.5896,15784731
4/11/2018,44.619701,45.3433,44.3484,44.5896,44.5896,12530788
4/12/2018,44.619701,44.740299,43.474098,44.107201,44.107201,13446105
4/13/2018,44.016701,44.800598,43.3535,43.5042,43.5042,17108205
4/16/2018,43.413799,43.413799,42.5998,42.991699,42.991699,13076270
4/17/2018,43.0821,44.5896,42.810799,43.0821,43.0821,35393921
4/18/2018,43.413799,43.685101,42.991699,43.112301,43.112301,50721897
4/19/2018,43.383598,43.413799,42.268101,42.780701,42.780701,21975760
4/20/2018,42.9314,43.383598,42.479198,42.720402,42.720402,13604687
4/23/2018,43.232899,43.5947,42.629902,43.202702,43.202702,16682182
4/24/2018,42.991699,43.1726,42.298302,42.8409,42.8409,17517487
4/25/2018,43.383598,43.8358,42.629902,43.051998,43.051998,27365137
4/26/2018,43.1726,43.263,40.730598,41.243099,41.243099,55840371
4/27/2018,41.7556,42.268101,41.152599,41.484299,41.484299,22499552
4/30/2018,43.323299,43.323299,41.062199,41.695301,41.695301,26361750
5/2/2018,41.8461,41.8461,40.097401,40.549702,40.549702,20988277
5/3/2018,40.519501,40.6703,38.288502,38.559898,38.559898,37848208
5/4/2018,38.59,39.042198,37.0826,37.6856,37.6856,36580055
5/7/2018,38.0172,38.228199,37.444401,37.625301,37.625301,16613470
5/8/2018,37.866501,37.866501,36.2384,36.871601,36.871601,23283504
5/9/2018,36.720798,37.233299,36.359001,36.570099,36.570099,14540465
5/10/2018,36.630402,36.630402,35.032501,35.183201,35.183201,29120852
5/11/2018,35.122898,35.122898,30.6007,30.992599,30.992599,131996627
5/14/2018,30.932301,32.108101,30.2087,31.2036,31.2036,61728660
5/15/2018,31.0529,32.439701,30.932301,32.0177,32.0177,40827212
5/16/2018,31.957399,32.3493,31.475,31.806601,31.806601,22120784
5/17/2018,31.686001,32.319099,31.535299,31.7463,31.7463,25520564
